status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"matched","coway-chpi-7410n-2","코웨이","CHPI-7410N","코웨이","CHPI-7410N","정수기","https://rentre.kr/product/1600005358/%EC%95%84%EC%9D%B4%EC%BD%98-%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-cp-7220n","코웨이","CP-7220N","코웨이","CP-7220N","정수기","https://rentre.kr/product/1600006833/%EC%95%84%EC%9D%B4%EC%BD%983-%EB%83%89%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-cp-7220n-2","코웨이","CP-7220N","코웨이","CP-7220N","정수기","https://rentre.kr/product/1600006833/%EC%95%84%EC%9D%B4%EC%BD%983-%EB%83%89%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-AHS100HEW(S)","정수기","https://rentre.kr/product/1522013399/%EC%A0%9C%EB%A1%9C-100-%EC%8A%AC%EB%A6%BC-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-AHS101HEW","정수기","https://rentre.kr/product/1600007022/%EC%A0%9C%EB%A1%9C-100-%EC%8A%AC%EB%A6%BC-%ED%94%8C%EB%9F%AC%EC%8A%A4-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","SK매직","WPUIAC506SNW","정수기","https://rentre.kr/product/1600007100/MEGA-ICE-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WU923ACB","정수기","https://rentre.kr/product/1522012110/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%93%80%EC%96%BC-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WD323ACB","정수기","https://rentre.kr/product/1522011878/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0(%EB%A7%9E%EC%B6%A4%EC%B6%9C%EC%88%98)"
"unmatched_remote","","","","웰스","WQ672NWR","정수기","https://rentre.kr/product/1522013673/%EC%9B%B0%EC%8A%A4-%EC%8A%88%ED%8D%BC%EC%BF%A8%EB%A7%81-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WD723RE","정수기","https://rentre.kr/product/1600007639/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0-(26%EB%85%84-%EC%B6%9C%EC%8B%9C)"
"unmatched_remote","","","","SK매직","WPUJAC125SNW","정수기","https://rentre.kr/product/1600006194/%EC%B4%88%EC%86%8C%ED%98%95-%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EC%A7%81%EC%88%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
