status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"matched","chungho-wp-45c90020m","청호나이스","WP-45C90020M","청호나이스","WP-45C90020M","정수기","https://www.rentalsegye.com/product.php?no=11404&cid=1377&gid=1424"
"matched","cuckoo-cp-w601sw","쿠쿠","CP-W601SW","쿠쿠","CP-W601SW","정수기","https://www.rentalsegye.com/product.php?no=28120&cid=1377&gid=1424"
"matched","cuckoo-cp-w602sw","쿠쿠","CP-W602SW","쿠쿠","CP-W602SW","정수기","https://www.rentalsegye.com/product.php?no=28121&cid=1377&gid=1424"
"matched","chungho-wp-30c9560bn","청호나이스","WP-30C9560BN","청호나이스","WP-30C9560BN","정수기","https://www.rentalsegye.com/product.php?no=14943&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","P-B30C","정수기","https://www.rentalsegye.com/product.php?no=15221&cid=1377&gid=1424"
"matched","coway-chpi-7521l","코웨이","CHPI-7521L","코웨이","CHPI-7521L","정수기","https://www.rentalsegye.com/product.php?no=41335&cid=1377&gid=1424"
"matched","coway-chpi-7521l-2","코웨이","CHPI-7521L","코웨이","CHPI-7521L","정수기","https://www.rentalsegye.com/product.php?no=41335&cid=1377&gid=1424"
"matched","coway-cpi-7511l","코웨이","CPI-7511L","코웨이","CPI-7511L","정수기","https://www.rentalsegye.com/product.php?no=17341&cid=1377&gid=1424"
"matched","coway-cpi-7511l-2","코웨이","CPI-7511L","코웨이","CPI-7511L","정수기","https://www.rentalsegye.com/product.php?no=17341&cid=1377&gid=1424"
"matched","coway-chpi-7511l","코웨이","CHPI-7511L","코웨이","CHPI-7511L","정수기","https://www.rentalsegye.com/product.php?no=17343&cid=1377&gid=1424"
"matched","coway-chpi-7511l-2","코웨이","CHPI-7511L","코웨이","CHPI-7511L","정수기","https://www.rentalsegye.com/product.php?no=17343&cid=1377&gid=1424"
"matched","wells-wk470","웰스","WK470","웰스","WK470","정수기","https://www.rentalsegye.com/product.php?no=18011&cid=1377&gid=1424"
"matched","hyundai-p-a52c","현대큐밍","P-A52C","현대큐밍","P-A52C","정수기","https://www.rentalsegye.com/product.php?no=19340&cid=1377&gid=1424"
"matched","hyundai-p-a52s","현대큐밍","P-A52S","현대큐밍","P-A52S","정수기","https://www.rentalsegye.com/product.php?no=19341&cid=1377&gid=1424"
"unmatched_remote","","","","쿠쿠","CP-DN2001S","정수기","https://www.rentalsegye.com/product.php?no=19829&cid=1377&gid=1424"
"matched","chungho-wi-53c9600m","청호나이스","WI-53C9600M","청호나이스","WI-53C9600M","정수기","https://www.rentalsegye.com/product.php?no=19867&cid=1377&gid=1424"
"matched","chungho-wi-53c8600m","청호나이스","WI-53C8600M","청호나이스","WI-53C8600M","정수기","https://www.rentalsegye.com/product.php?no=19869&cid=1377&gid=1424"
"matched","chungho-wp-40c60000m","청호나이스","WP-40C60000M","청호나이스","WP-40C60000M","정수기","https://www.rentalsegye.com/product.php?no=19880&cid=1377&gid=1424"
"unmatched_remote","","","","웰스","WM071RWA","정수기","https://www.rentalsegye.com/product.php?no=19901&cid=1377&gid=1424"
"matched","lg-wd325as","LG","WD325AS","LG","WD325AS","정수기","https://www.rentalsegye.com/product.php?no=20169&cid=1377&gid=1424"
"unmatched_remote","","","","LG","WD525ACB/GB","정수기","https://www.rentalsegye.com/product.php?no=20174&cid=1377&gid=1424"
"matched","cuckoo-cp-ws601sw","쿠쿠","CP-WS601SW","쿠쿠","CP-WS601SW","정수기","https://www.rentalsegye.com/product.php?no=21741&cid=1377&gid=1424"
"matched","coway-chp-3140n","코웨이","CHP-3140N","코웨이","CHP-3140N","정수기","https://www.rentalsegye.com/product.php?no=20909&cid=1377&gid=1424"
"matched","coway-chp-8200n","코웨이","CHP-8200N","코웨이","CHP-8200N","정수기","https://www.rentalsegye.com/product.php?no=20913&cid=1377&gid=1424"
"matched","coway-chp-8210n","코웨이","CHP-8210N","코웨이","CHP-8210N","정수기","https://www.rentalsegye.com/product.php?no=21671&cid=1377&gid=1424"
"matched","coway-p-6320l","코웨이","P-6320L","코웨이","P-6320L","정수기","https://www.rentalsegye.com/product.php?no=21669&cid=1377&gid=1424"
"matched","cuckoo-cp-ws601hw","쿠쿠","CP-WS601HW","쿠쿠","CP-WS601HW","정수기","https://www.rentalsegye.com/product.php?no=21740&cid=1377&gid=1424"
"unmatched_remote","","","","웰스","WQ271UWA","정수기","https://www.rentalsegye.com/product.php?no=31351&cid=1377&gid=1424"
"matched","coway-chp-8310l","코웨이","CHP-8310L","코웨이","CHP-8310L","정수기","https://www.rentalsegye.com/product.php?no=21996&cid=1377&gid=1424"
"matched","hyundai-p-r40ss","현대큐밍","P-R40SS","현대큐밍","P-R40SS","정수기","https://www.rentalsegye.com/product.php?no=22107&cid=1377&gid=1424"
"matched","cuckoo-cp-w602hw","쿠쿠","CP-W602HW","쿠쿠","CP-W602HW","정수기","https://www.rentalsegye.com/product.php?no=26995&cid=1377&gid=1424"
"matched","cuckoo-cp-w601hw","쿠쿠","CP-W601HW","쿠쿠","CP-W601HW","정수기","https://www.rentalsegye.com/product.php?no=27967&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQP-M50SW","정수기","https://www.rentalsegye.com/product.php?no=29669&cid=1377&gid=1424"
"unmatched_remote","","","","웰스","WP610NWA","정수기","https://www.rentalsegye.com/product.php?no=26417&cid=1377&gid=1424"
"matched","chungho-wp-60c90520m","청호나이스","WP-60C90520M","청호나이스","WP-60C90520M","정수기","https://www.rentalsegye.com/product.php?no=25986&cid=1377&gid=1424"
"matched","chungho-wp-60c90520m-2","청호나이스","WP-60C90520M","청호나이스","WP-60C90520M","정수기","https://www.rentalsegye.com/product.php?no=25986&cid=1377&gid=1424"
"matched","coway-chpi-7400n","코웨이","CHPI-7400N","코웨이","CHPI-7400N","정수기","https://www.rentalsegye.com/product.php?no=26137&cid=1377&gid=1424"
"matched","coway-chpi-7400n-2","코웨이","CHPI-7400N","코웨이","CHPI-7400N","정수기","https://www.rentalsegye.com/product.php?no=26137&cid=1377&gid=1424"
"unmatched_remote","","","","청호나이스","WI-60C80521M","정수기","https://www.rentalsegye.com/product.php?no=37398&cid=1377&gid=1424"
"matched","chungho-wp-46s9p510m","청호나이스","WP-46S9P510M","청호나이스","WP-46S9P510M","정수기","https://www.rentalsegye.com/product.php?no=26423&cid=1377&gid=1424"
"matched","chungho-wp-46s90510m","청호나이스","WP-46S90510M","청호나이스","WP-46S90510M","정수기","https://www.rentalsegye.com/product.php?no=26424&cid=1377&gid=1424"
"matched","coway-chpi-5810l","코웨이","CHPI-5810L","코웨이","CHPI-5810L","정수기","https://www.rentalsegye.com/product.php?no=26427&cid=1377&gid=1424"
"matched","chungho-wp-30s50010n","청호나이스","WP-30S50010N","청호나이스","WP-30S50010N","정수기","https://www.rentalsegye.com/product.php?no=27607&cid=1377&gid=1424"
"unmatched_remote","","","","쿠쿠","CP-AHSC100HEB/EW","정수기","https://www.rentalsegye.com/product.php?no=40255&cid=1377&gid=1424"
"matched","coway-chp-5720l","코웨이","CHP-5720L","코웨이","CHP-5720L","정수기","https://www.rentalsegye.com/product.php?no=29671&cid=1377&gid=1424"
"matched","cuckoo-cp-ad011ugw","쿠쿠","CP-AD011UGW","쿠쿠","CP-AD011UGW","정수기","https://www.rentalsegye.com/product.php?no=33327&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQP-M40SW","정수기","https://www.rentalsegye.com/product.php?no=29169&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQP-M50SW","정수기","https://www.rentalsegye.com/product.php?no=29170&cid=1377&gid=1424"
"unmatched_remote","","","","웰스","WQ171UWA","정수기","https://www.rentalsegye.com/product.php?no=31350&cid=1377&gid=1424"
"matched","hyundai-hqpg30sw0e","현대큐밍","HQPG30SW0E","현대큐밍","HQPG30SW0E","정수기","https://www.rentalsegye.com/product.php?no=39592&cid=1377&gid=1424"
"matched","cuckoo-cp-ae502hw","쿠쿠","CP-AE502HW","쿠쿠","CP-AE502HW","정수기","https://www.rentalsegye.com/product.php?no=32842&cid=1377&gid=1424"
"matched","cuckoo-cp-qrp3002s","쿠쿠","CP-QRP3002S","쿠쿠","CP-QRP3002S","정수기","https://www.rentalsegye.com/product.php?no=30061&cid=1377&gid=1424"
"unmatched_remote","","","","웰스","WQ652NWR","정수기","https://www.rentalsegye.com/product.php?no=30055&cid=1377&gid=1424"
"matched","wells-wq672","웰스","WQ672","웰스","WQ672","정수기","https://www.rentalsegye.com/product.php?no=30056&cid=1377&gid=1424"
"matched","chungho-wi-70s90010m","청호나이스","WI-70S90010M","청호나이스","WI-70S90010M","정수기","https://www.rentalsegye.com/product.php?no=33634&cid=1377&gid=1424"
"matched","cuckoo-cp-wrp602sw","쿠쿠","CP-WRP602SW","쿠쿠","CP-WRP602SW","정수기","https://www.rentalsegye.com/product.php?no=30248&cid=1377&gid=1424"
"matched","chungho-wp-50s90010m","청호나이스","WP-50S90010M","청호나이스","WP-50S90010M","정수기","https://www.rentalsegye.com/product.php?no=32843&cid=1377&gid=1424"
"unmatched_remote","","","","쿠쿠","CP-SS100WSV","정수기","https://www.rentalsegye.com/product.php?no=31348&cid=1377&gid=1424"
"matched","chungho-wi-80s9p510m","청호나이스","WI-80S9P510M","청호나이스","WI-80S9P510M","정수기","https://www.rentalsegye.com/product.php?no=32177&cid=1377&gid=1424"
"matched","chungho-wp-80s9p510m","청호나이스","WP-80S9P510M","청호나이스","WP-80S9P510M","정수기","https://www.rentalsegye.com/product.php?no=34599&cid=1377&gid=1424"
"unmatched_remote","","","","웰스","WR872MWA","정수기","https://www.rentalsegye.com/product.php?no=36099&cid=1377&gid=1424"
"matched","coway-p-350n","코웨이","P-350N","코웨이","P-350N","정수기","https://www.rentalsegye.com/product.php?no=32260&cid=1377&gid=1424"
"unmatched_remote","","","","LG","WD323ACB/WB","정수기","https://www.rentalsegye.com/product.php?no=32284&cid=1377&gid=1424"
"matched","cuckoo-cp-acs1610snw","쿠쿠","CP-ACS1610SNW","쿠쿠","CP-ACS1610SNW","정수기","https://www.rentalsegye.com/product.php?no=32596&cid=1377&gid=1424"
"matched","cuckoo-cp-wr602hw","쿠쿠","CP-WR602HW","쿠쿠","CP-WR602HW","정수기","https://www.rentalsegye.com/product.php?no=32597&cid=1377&gid=1424"
"unmatched_remote","","","","쿠쿠","CP-AAS100ULDS/ULW","정수기","https://www.rentalsegye.com/product.php?no=32839&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQPM14C","정수기","https://www.rentalsegye.com/product.php?no=32999&cid=1377&gid=1424"
"matched","coway-cp-6340l","코웨이","CP-6340L","코웨이","CP-6340L","정수기","https://www.rentalsegye.com/product.php?no=33088&cid=1377&gid=1424"
"unmatched_remote","","","","쿠쿠","CP-ABSC100GWH/PK","정수기","https://www.rentalsegye.com/product.php?no=34424&cid=1377&gid=1424"
"matched","lg-wu823as","LG","WU823AS","LG","WU823AS","정수기","https://www.rentalsegye.com/product.php?no=34643&cid=1377&gid=1424"
"matched","coway-chp-5711l","코웨이","CHP-5711L","코웨이","CHP-5711L","정수기","https://www.rentalsegye.com/product.php?no=36838&cid=1377&gid=1424"
"unmatched_remote","","","","LG","WD121MCB/NB","정수기","https://www.rentalsegye.com/product.php?no=34816&cid=1377&gid=1424"
"matched","cesco-ewbs551","세스코","EWBS551","세스코","EWBS551","정수기","https://www.rentalsegye.com/product.php?no=35123&cid=1377&gid=1424"
"matched","cesco-ew-210","세스코","EW-210","세스코","EW-210","정수기","https://www.rentalsegye.com/product.php?no=35128&cid=1377&gid=1424"
"matched","cesco-ewbd351","세스코","EWBD351","세스코","EWBD351","정수기","https://www.rentalsegye.com/product.php?no=35130&cid=1377&gid=1424"
"matched","cesco-ewbs351","세스코","EWBS351","세스코","EWBS351","정수기","https://www.rentalsegye.com/product.php?no=35131&cid=1377&gid=1424"
"matched","cesco-ewed351","세스코","EWED351","세스코","EWED351","정수기","https://www.rentalsegye.com/product.php?no=42482&cid=1377&gid=1424"
"matched","cesco-ewbd151","세스코","EWBD151","세스코","EWBD151","정수기","https://www.rentalsegye.com/product.php?no=36777&cid=1377&gid=1424"
"matched","cuckoo-cp-f603hw","쿠쿠","CP-F603HW","쿠쿠","CP-F603HW","정수기","https://www.rentalsegye.com/product.php?no=36097&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQPS1CYOE","정수기","https://www.rentalsegye.com/product.php?no=36487&cid=1377&gid=1424"
"matched","coway-chp-5711r","코웨이","CHP-5711R","코웨이","CHP-5711R","정수기","https://www.rentalsegye.com/product.php?no=36839&cid=1377&gid=1424"
"matched","chungho-wi-70s9p010m","청호나이스","WI-70S9P010M","청호나이스","WI-70S9P010M","정수기","https://www.rentalsegye.com/product.php?no=36869&cid=1377&gid=1424"
"unmatched_remote","","","","청호나이스","WI-60C90521M","정수기","https://www.rentalsegye.com/product.php?no=37346&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQPI73CG0E","정수기","https://www.rentalsegye.com/product.php?no=37177&cid=1377&gid=1424"
"matched","cesco-ewdd951","세스코","EWDD951","세스코","EWDD951","정수기","https://www.rentalsegye.com/product.php?no=37266&cid=1377&gid=1424"
"matched","chungho-wi-55s90510m","청호나이스","WI-55S90510M","청호나이스","WI-55S90510M","정수기","https://www.rentalsegye.com/product.php?no=37651&cid=1377&gid=1424"
"matched","chungho-wi-55s9p510m","청호나이스","WI-55S9P510M","청호나이스","WI-55S9P510M","정수기","https://www.rentalsegye.com/product.php?no=37652&cid=1377&gid=1424"
"matched","chungho-wp-60c90511m","청호나이스","WP-60C90511M","청호나이스","WP-60C90511M","정수기","https://www.rentalsegye.com/product.php?no=38260&cid=1377&gid=1424"
"matched","chungho-wp-60c80511m","청호나이스","WP-60C80511M","청호나이스","WP-60C80511M","정수기","https://www.rentalsegye.com/product.php?no=38263&cid=1377&gid=1424"
"matched","cuckoo-cp-acsr1620sw","쿠쿠","CP-ACSR1620SW","쿠쿠","CP-ACSR1620SW","정수기","https://www.rentalsegye.com/product.php?no=38278&cid=1377&gid=1424"
"matched","lg-wu523as","LG","WU523AS","LG","WU523AS","정수기","https://www.rentalsegye.com/product.php?no=38413&cid=1377&gid=1424"
"matched","chungho-wp-50c90621n","청호나이스","WP-50C90621N","청호나이스","WP-50C90621N","정수기","https://www.rentalsegye.com/product.php?no=38532&cid=1377&gid=1424"
"matched","cuckoo-cp-afrp1601sw","쿠쿠","CP-AFRP1601SW","쿠쿠","CP-AFRP1601SW","정수기","https://www.rentalsegye.com/product.php?no=47174&cid=1377&gid=1424"
"matched","chungho-wp-30c9460bn","청호나이스","WP-30C9460BN","청호나이스","WP-30C9460BN","정수기","https://www.rentalsegye.com/product.php?no=39229&cid=1377&gid=1424"
"matched","chungho-wp-30c8460n","청호나이스","WP-30C8460N","청호나이스","WP-30C8460N","정수기","https://www.rentalsegye.com/product.php?no=39299&cid=1377&gid=1424"
"matched","hyundai-hqpg30cw0e","현대큐밍","HQPG30CW0E","현대큐밍","HQPG30CW0E","정수기","https://www.rentalsegye.com/product.php?no=39591&cid=1377&gid=1424"
"matched","wells-ws672","웰스","WS672","웰스","WS672","정수기","https://www.rentalsegye.com/product.php?no=40916&cid=1377&gid=1424"
